SEXO,EDAD,EDAD_NUMERICA,PAIS,PAIS_CODIGO,PAIS_ISO,ANIO,CODREGEO,REGION,CENSO_AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
1,00 A 04,2,ALEMANIA,17,DE,2018,5,COQUIMBO,2.0,0.0,0.0,0.0,2
1,00 A 04,2,ALEMANIA,17,DE,2018,6,VALPARAÍSO,1.0,1.0,0.0,1.0,2
1,00 A 04,2,ALEMANIA,17,DE,2018,7,METROPOLITANA DE SANTIAGO,26.0,0.0,0.0,0.0,26
1,00 A 04,2,ALEMANIA,17,DE,2018,9,MAULE,1.0,0.0,0.0,0.0,1
1,00 A 04,2,ALEMANIA,17,DE,2018,11,BIOBÍO,2.0,0.0,0.0,0.0,2
1,00 A 04,2,ALEMANIA,17,DE,2018,12,LA ARAUCANÍA,2.0,0.0,0.0,0.0,2
1,00 A 04,2,ALEMANIA,17,DE,2018,13,LOS RÍOS,2.0,0.0,0.0,0.0,2
1,00 A 04,2,ALEMANIA,17,DE,2018,14,LOS LAGOS,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ALEMANIA,17,DE,2018,17,REGIÓN IGNORADA,0.0,3.0,0.0,3.0,3
1,00 A 04,2,ALEMANIA,17,DE,2019,5,COQUIMBO,1.0,0.0,0.0,0.0,1
1,00 A 04,2,ALEMANIA,17,DE,2019,6,VALPARAÍSO,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ALEMANIA,17,DE,2019,7,METROPOLITANA DE SANTIAGO,19.0,3.0,0.0,3.0,22
1,00 A 04,2,ALEMANIA,17,DE,2019,9,MAULE,1.0,0.0,0.0,0.0,1
1,00 A 04,2,ALEMANIA,17,DE,2019,11,BIOBÍO,1.0,1.0,0.0,1.0,2
1,00 A 04,2,ALEMANIA,17,DE,2019,12,LA ARAUCANÍA,2.0,1.0,0.0,1.0,3
1,00 A 04,2,ALEMANIA,17,DE,2019,13,LOS RÍOS,2.0,0.0,0.0,0.0,2
1,00 A 04,2,ALEMANIA,17,DE,2019,17,REGIÓN IGNORADA,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ALEMANIA,17,DE,2020,4,ATACAMA,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ALEMANIA,17,DE,2020,5,COQUIMBO,1.0,0.0,0.0,0.0,1
1,00 A 04,2,ALEMANIA,17,DE,2020,6,VALPARAÍSO,0.0,2.0,0.0,2.0,2
1,00 A 04,2,ALEMANIA,17,DE,2020,7,METROPOLITANA DE SANTIAGO,10.0,2.0,2.0,4.0,14
1,00 A 04,2,ALEMANIA,17,DE,2020,11,BIOBÍO,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ALEMANIA,17,DE,2020,12,LA ARAUCANÍA,2.0,1.0,0.0,1.0,3
1,00 A 04,2,ALEMANIA,17,DE,2020,17,REGIÓN IGNORADA,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ALEMANIA,17,DE,2021,4,ATACAMA,0.0,2.0,0.0,2.0,2
1,00 A 04,2,ALEMANIA,17,DE,2021,7,METROPOLITANA DE SANTIAGO,5.0,2.0,3.0,5.0,10
1,00 A 04,2,ALEMANIA,17,DE,2021,11,BIOBÍO,0.0,1.0,0.0,1.0,1
