CODREGEO,REGION,ANIO,pred_linear,pred_xgboost
1,ARICA Y PARINACOTA,2024,0.020926320822172766,0.030644175
2,TARAPACÁ,2024,0.04802277420253357,0.066197395
3,ANTOFAGASTA,2024,0.07103093773240834,0.09556139
4,ATACAMA,2024,0.0174334592610375,0.02613491
5,COQUIMBO,2024,0.02917525753612659,0.05827182
6,VALPARAÍSO,2024,0.06800206718502869,0.1096889
7,METROPOLITANA DE SANTIAGO,2024,0.5882070568880079,0.28206304
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2024,0.03481990571564292,0.062240716
9,MAULE,2024,0.030789573942774068,0.04969049
10,ÑUBLE,2024,0.00882779725551839,0.04264539
11,BIOBÍO,2024,0.030461239589324007,0.05622485
12,LA ARAUCANÍA,2024,0.014116687140085574,0.028639905
13,LOS RÍOS,2024,0.005355908194371455,0.011680308
14,LOS LAGOS,2024,0.022909836243056474,0.03738945
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2024,0.0025662233748341883,0.006624521
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2024,0.007354954917077706,0.036302786
1,ARICA Y PARINACOTA,2025,0.021404186760804415,0.033957507
2,TARAPACÁ,2025,0.048155073596254504,0.06431803
3,ANTOFAGASTA,2025,0.07081548751942879,0.092848375
4,ATACAMA,2025,0.01971626378121075,0.025392933
5,COQUIMBO,2025,0.031248348116476327,0.059356812
6,VALPARAÍSO,2025,0.06823852004691414,0.106574796
7,METROPOLITANA DE SANTIAGO,2025,0.5740657530872307,0.27405518
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2025,0.03626339108715583,0.060473684
9,MAULE,2025,0.0322339619006181,0.05620962
10,ÑUBLE,2025,0.009710243555120924,0.043419793
11,BIOBÍO,2025,0.0329287723037448,0.065966465
12,LA ARAUCANÍA,2025,0.014267732069369564,0.02782681
13,LOS RÍOS,2025,0.0055168321611993336,0.011348701
14,LOS LAGOS,2025,0.024891346328748516,0.03632795
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2025,0.0026103560284835093,0.006436449
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2025,0.007933731657239637,0.035486825
1,ARICA Y PARINACOTA,2026,0.02186970417921232,0.03293727
2,TARAPACÁ,2026,0.048283954245078864,0.06238562
3,ANTOFAGASTA,2026,0.07060560474931787,0.09005878
4,ATACAMA,2026,0.02194007841425173,0.028620241
5,COQUIMBO,2026,0.033267868021689816,0.065265074
6,VALPARAÍSO,2026,0.06846886273707381,0.1033728
7,METROPOLITANA DE SANTIAGO,2026,0.5602898743185752,0.2658213
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2026,0.037669575393952034,0.058656774
9,MAULE,2026,0.03364102547003752,0.059503667
10,ÑUBLE,2026,0.010569886584818479,0.042115264
11,BIOBÍO,2026,0.035332541574983084,0.068967365
12,LA ARAUCANÍA,2026,0.01441487385090191,0.026990764
13,LOS RÍOS,2026,0.005673597696345398,0.011439981
14,LOS LAGOS,2026,0.026821652268280236,0.04260608
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2026,0.0026533482514763253,0.0062430687
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2026,0.008497552244005495,0.03501588
