CODREGEO,REGION,r2_tendencia,cagr_anual
1,ARICA Y PARINACOTA,0.9450565100180751,0.058548717336476486
2,TARAPACÁ,0.9841454882303332,0.07239856670900102
3,ANTOFAGASTA,0.9466678502519185,0.07445597788605984
4,ATACAMA,0.8940917978346361,0.11850603078403776
5,COQUIMBO,0.867962022938773,0.1134454661155615
6,VALPARAÍSO,0.8645897567271366,0.0713588094664035
7,METROPOLITANA DE SANTIAGO,0.8833474268887468,0.05603614484043096
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.9219264987882556,0.10876290225231111
9,MAULE,0.8682179564790986,0.08370963649359742
10,ÑUBLE,0.9864780500112591,0.08825734465102775
11,BIOBÍO,0.8460937403515173,0.11039578749131684
12,LA ARAUCANÍA,0.8714810448908608,0.05009194889079405
13,LOS RÍOS,0.9299744708764094,0.04304578997216724
14,LOS LAGOS,0.8754731016651915,0.09872320271143908
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,0.8353469454785862,0.04171145710434865
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,0.9483595317365457,0.062261161429302714
