SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO
H,00 A 04,ALEMANIA,2018,5,COQUIMBO,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,6,VALPARAÍSO,1.0,1.0,,1.0,2,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,7,METROPOLITANA DE SANTIAGO,26.0,,,,26,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,9,MAULE,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,11,BIOBÍO,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,12,LA ARAUCANÍA,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,13,LOS RÍOS,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,14,LOS LAGOS,,1.0,,1.0,1,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2018,17,REGIÓN IGNORADA,,3.0,,3.0,3,2018,DEU,1.73216879766948,1.11644310902427,3.384
H,00 A 04,ALEMANIA,2019,5,COQUIMBO,1.0,,,,1,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,6,VALPARAÍSO,,1.0,,1.0,1,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,7,METROPOLITANA DE SANTIAGO,19.0,3.0,,3.0,22,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,9,MAULE,1.0,,,,1,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,11,BIOBÍO,1.0,1.0,,1.0,2,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,12,LA ARAUCANÍA,2.0,1.0,,1.0,3,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,13,LOS RÍOS,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2019,17,REGIÓN IGNORADA,,1.0,,1.0,1,2019,DEU,1.44565976888253,0.987893350164853,3.163
H,00 A 04,ALEMANIA,2020,4,ATACAMA,,1.0,,1.0,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2020,5,COQUIMBO,1.0,,,,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2020,6,VALPARAÍSO,,2.0,,2.0,2,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2020,7,METROPOLITANA DE SANTIAGO,10.0,2.0,2.0,4.0,14,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2020,11,BIOBÍO,,1.0,,1.0,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2020,12,LA ARAUCANÍA,2.0,1.0,,1.0,3,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2020,17,REGIÓN IGNORADA,,1.0,,1.0,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881
H,00 A 04,ALEMANIA,2021,4,ATACAMA,,2.0,,2.0,2,2021,DEU,3.0666666666667,3.6699998840452,3.594
H,00 A 04,ALEMANIA,2021,7,METROPOLITANA DE SANTIAGO,5.0,2.0,3.0,5.0,10,2021,DEU,3.0666666666667,3.6699998840452,3.594
H,00 A 04,ALEMANIA,2021,11,BIOBÍO,,1.0,,1.0,1,2021,DEU,3.0666666666667,3.6699998840452,3.594
H,00 A 04,ALEMANIA,2021,12,LA ARAUCANÍA,,1.0,,1.0,1,2021,DEU,3.0666666666667,3.6699998840452,3.594
H,00 A 04,ALEMANIA,2021,17,REGIÓN IGNORADA,,2.0,,2.0,2,2021,DEU,3.0666666666667,3.6699998840452,3.594
H,00 A 04,ALEMANIA,2022,3,ANTOFAGASTA,,1.0,,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2022,4,ATACAMA,,2.0,,2.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2022,5,COQUIMBO,,,1.0,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2022,6,VALPARAÍSO,,,1.0,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2022,7,METROPOLITANA DE SANTIAGO,,,2.0,2.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2022,12,LA ARAUCANÍA,,2.0,,2.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2022,17,REGIÓN IGNORADA,,5.0,,5.0,5,2022,DEU,6.87257438551096,1.36973104612758,3.12
H,00 A 04,ALEMANIA,2023,3,ANTOFAGASTA,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ALEMANIA,2023,4,ATACAMA,,2.0,,2.0,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ALEMANIA,2023,7,METROPOLITANA DE SANTIAGO,,,1.0,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ALEMANIA,2023,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ALEMANIA,2023,9,MAULE,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ALEMANIA,2023,12,LA ARAUCANÍA,,2.0,,2.0,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ALEMANIA,2023,17,REGIÓN IGNORADA,,3.0,2.0,5.0,5,2023,DEU,5.94643667725828,-0.266438401180253,3.068
H,00 A 04,ARGENTINA,2018,1,ARICA Y PARINACOTA,2.0,,,,2,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,2,TARAPACÁ,7.0,5.0,,5.0,12,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,3,ANTOFAGASTA,11.0,3.0,,3.0,14,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,4,ATACAMA,6.0,1.0,,1.0,7,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,5,COQUIMBO,7.0,7.0,,7.0,14,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,6,VALPARAÍSO,63.0,13.0,4.0,17.0,80,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,7,METROPOLITANA DE SANTIAGO,239.0,38.0,4.0,42.0,281,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,15.0,2.0,,2.0,17,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,9,MAULE,8.0,4.0,2.0,6.0,14,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,10,ÑUBLE,1.0,,,,1,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,11,BIOBÍO,23.0,1.0,1.0,2.0,25,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,12,LA ARAUCANÍA,19.0,3.0,,3.0,22,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,13,LOS RÍOS,7.0,1.0,,1.0,8,2018,ARG,34.2772237131003,-2.61739646282038,9.22
H,00 A 04,ARGENTINA,2018,14,LOS LAGOS,29.0,1.0,,1.0,30,2018,ARG,34.2772237131003,-2.61739646282038,9.22
