SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,region_norm,pais_norm,sexo_norm,edad_norm,anio,pais_norm_merge,ACOGIDAS_TOTAL,RESUELTAS_ARCHIVA,RESUELTAS_OTORGA,RESUELTAS_RECHAZA_RT,RESUELTAS_RECHAZA_ABANDONO,RESUELTAS_TOTAL,TASA_OTORGA,TASA_RECHAZO,TASA_ARCHIVO,ACOGIDAS_LAG1,RESUELTAS_LAG1,TASA_REGULARIZACION,PROP_ESTIMACION_GRUPO,ACOGIDAS_PER_CAPITA,RESUELTAS_PER_CAPITA
H,00 A 04,ALEMANIA,2022,3,ANTOFAGASTA,,1.0,,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,00 a 04,2022,alemania,,,,,,,,,,,,0.9999999989999999,0.01282051282051282,,
H,00 A 04,ALEMANIA,2023,3,ANTOFAGASTA,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,00 a 04,2023,alemania,,,,,,,,,,,,0.9999999989999999,0.0125,,
H,10 A 14,ALEMANIA,2018,3,ANTOFAGASTA,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,10 a 14,2018,alemania,,,,,,,,,,,,,0.029411764705882353,,
H,10 A 14,ALEMANIA,2019,3,ANTOFAGASTA,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,10 a 14,2019,alemania,,,,,,,,,,,,,0.028985507246376812,,
H,10 A 14,ALEMANIA,2020,3,ANTOFAGASTA,1.0,,,,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,10 a 14,2020,alemania,,,,,,,,,,,,,0.013333333333333334,,
H,10 A 14,ALEMANIA,2021,3,ANTOFAGASTA,1.0,,,,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,10 a 14,2021,alemania,,,,,,,,,,,,,0.012658227848101266,,
H,15 A 19,ALEMANIA,2020,3,ANTOFAGASTA,1.0,2.0,,2.0,3,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,15 a 19,2020,alemania,,,,,,,,,,,,0.6666666664444444,0.04,,
H,15 A 19,ALEMANIA,2021,3,ANTOFAGASTA,1.0,1.0,,1.0,2,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,15 a 19,2021,alemania,,,,,,,,,,,,0.49999999975,0.02531645569620253,,
H,15 A 19,ALEMANIA,2022,3,ANTOFAGASTA,2.0,1.0,,1.0,3,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,15 a 19,2022,alemania,,,,,,,,,,,,0.3333333332222222,0.038461538461538464,,
H,15 A 19,ALEMANIA,2023,3,ANTOFAGASTA,2.0,,,,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,15 a 19,2023,alemania,,,,,,,,,,,,,0.025,,
H,20 A 24,ALEMANIA,2018,3,ANTOFAGASTA,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,20 a 24,2018,alemania,,,,,,,,,,,,,0.014705882352941176,,
H,20 A 24,ALEMANIA,2019,3,ANTOFAGASTA,1.0,,,,1,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,20 a 24,2019,alemania,,,,,,,,,,,,,0.014492753623188406,,
H,25 A 29,ALEMANIA,2018,3,ANTOFAGASTA,5.0,,,,5,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,25 a 29,2018,alemania,,,,,,,,,,,,,0.07352941176470588,,
H,25 A 29,ALEMANIA,2019,3,ANTOFAGASTA,5.0,,,,5,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,25 a 29,2019,alemania,,,,,,,,,,,,,0.07246376811594203,,
H,25 A 29,ALEMANIA,2020,3,ANTOFAGASTA,6.0,1.0,,1.0,7,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,25 a 29,2020,alemania,,,,,,,,,,,,0.1428571428367347,0.09333333333333334,,
H,25 A 29,ALEMANIA,2021,3,ANTOFAGASTA,4.0,,,,4,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,25 a 29,2021,alemania,,,,,,,,,,,,,0.05063291139240506,,
H,25 A 29,ALEMANIA,2022,3,ANTOFAGASTA,2.0,,,,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,25 a 29,2022,alemania,,,,,,,,,,,,,0.02564102564102564,,
H,25 A 29,ALEMANIA,2023,3,ANTOFAGASTA,1.0,,,,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,25 a 29,2023,alemania,,,,,,,,,,,,,0.0125,,
H,30 A 34,ALEMANIA,2018,3,ANTOFAGASTA,7.0,,,,7,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,30 a 34,2018,alemania,,,,,,,,,,,,,0.10294117647058823,,
H,30 A 34,ALEMANIA,2019,3,ANTOFAGASTA,6.0,,,,6,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,30 a 34,2019,alemania,,,,,,,,,,,,,0.08695652173913043,,
H,30 A 34,ALEMANIA,2020,3,ANTOFAGASTA,6.0,,,,6,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,30 a 34,2020,alemania,,,,,,,,,,,,,0.08,,
H,30 A 34,ALEMANIA,2021,3,ANTOFAGASTA,6.0,1.0,,1.0,7,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,30 a 34,2021,alemania,,,,,,,,,,,,0.1428571428367347,0.08860759493670886,,
H,30 A 34,ALEMANIA,2022,3,ANTOFAGASTA,6.0,1.0,,1.0,7,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,30 a 34,2022,alemania,,,,,,,,,,,,0.1428571428367347,0.08974358974358974,,
H,30 A 34,ALEMANIA,2023,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,30 a 34,2023,alemania,,,,,,,,,,,,0.16666666663888888,0.075,,
H,35 A 39,ALEMANIA,2018,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,35 a 39,2018,alemania,,,,,,,,,,,,0.16666666663888888,0.08823529411764706,,
H,35 A 39,ALEMANIA,2019,3,ANTOFAGASTA,6.0,2.0,,2.0,8,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,35 a 39,2019,alemania,,,,,,,,,,,,0.24999999996875,0.11594202898550725,,
