CODREGEO,REGION,ANIO,estimacion_proyectada
1,ARICA Y PARINACOTA,2024,38790
1,ARICA Y PARINACOTA,2025,41061
1,ARICA Y PARINACOTA,2026,43465
1,ARICA Y PARINACOTA,2027,46010
1,ARICA Y PARINACOTA,2028,48704
2,TARAPACÁ,2024,91789
2,TARAPACÁ,2025,98435
2,TARAPACÁ,2026,105561
2,TARAPACÁ,2027,113204
2,TARAPACÁ,2028,121399
3,ANTOFAGASTA,2024,135550
3,ANTOFAGASTA,2025,145643
3,ANTOFAGASTA,2026,156487
3,ANTOFAGASTA,2027,168138
3,ANTOFAGASTA,2028,180657
4,ATACAMA,2024,29130
4,ATACAMA,2025,32582
4,ATACAMA,2026,36443
4,ATACAMA,2027,40762
4,ATACAMA,2028,45592
5,COQUIMBO,2024,51745
5,COQUIMBO,2025,57615
5,COQUIMBO,2026,64151
5,COQUIMBO,2027,71429
5,COQUIMBO,2028,79532
6,VALPARAÍSO,2024,126936
6,VALPARAÍSO,2025,135994
6,VALPARAÍSO,2026,145698
6,VALPARAÍSO,2027,156095
6,VALPARAÍSO,2028,167234
7,METROPOLITANA DE SANTIAGO,2024,1122613
7,METROPOLITANA DE SANTIAGO,2025,1185520
7,METROPOLITANA DE SANTIAGO,2026,1251952
7,METROPOLITANA DE SANTIAGO,2027,1322107
7,METROPOLITANA DE SANTIAGO,2028,1396193
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2024,64406
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2025,71412
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2026,79178
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2027,87790
8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2028,97338
9,MAULE,2024,55247
9,MAULE,2025,59872
9,MAULE,2026,64883
9,MAULE,2027,70315
9,MAULE,2028,76201
10,ÑUBLE,2024,15401
10,ÑUBLE,2025,16760
10,ÑUBLE,2026,18240
10,ÑUBLE,2027,19849
10,ÑUBLE,2028,21601
11,BIOBÍO,2024,53092
11,BIOBÍO,2025,58953
11,BIOBÍO,2026,65461
11,BIOBÍO,2027,72687
11,BIOBÍO,2028,80712
12,LA ARAUCANÍA,2024,25898
12,LA ARAUCANÍA,2025,27195
12,LA ARAUCANÍA,2026,28557
12,LA ARAUCANÍA,2027,29988
12,LA ARAUCANÍA,2028,31490
13,LOS RÍOS,2024,9655
13,LOS RÍOS,2025,10071
13,LOS RÍOS,2026,10504
13,LOS RÍOS,2027,10957
13,LOS RÍOS,2028,11428
14,LOS LAGOS,2024,39686
14,LOS LAGOS,2025,43604
14,LOS LAGOS,2026,47909
14,LOS LAGOS,2027,52639
14,LOS LAGOS,2028,57836
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2024,4641
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2025,4835
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2026,5036
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2027,5247
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2028,5465
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2024,12790
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2025,13587
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2026,14433
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2027,15331
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2028,16286
